time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-05 00:00:00+00:00,106,36,100,3
2026-06-06 00:00:00+00:00,218,81,103,5
2026-06-07 00:00:00+00:00,115,23,24,2
2026-06-08 00:00:00+00:00,21,8,28,28
2026-06-09 00:00:00+00:00,22,9,29,13
2026-06-10 00:00:00+00:00,45,24,3,3
2026-06-11 00:00:00+00:00,38,21,2,2
2026-06-12 00:00:00+00:00,74,36,8,8
2026-06-13 00:00:00+00:00,116,36,38,4
2026-06-14 00:00:00+00:00,119,32,7,2
2026-06-15 00:00:00+00:00,55,16,13,3
2026-06-16 00:00:00+00:00,61,29,13,8
2026-06-17 00:00:00+00:00,77,36,7,6
2026-06-18 00:00:00+00:00,66,23,24,5
