url_path,views_total,views_unique
/The-OpenROAD-Project/ORAssistant,46,41
/The-OpenROAD-Project/ORAssistant/tree/master/backend,5,3
/The-OpenROAD-Project/ORAssistant/tree/master/frontend,3,3
/The-OpenROAD-Project/ORAssistant/blob/master/backend/build_docs.py,3,2
/The-OpenROAD-Project/ORAssistant/blob/master/backend/main.py,3,2
/The-OpenROAD-Project/ORAssistant/pull/123,3,1
/The-OpenROAD-Project/ORAssistant/issues,2,2
/The-OpenROAD-Project/ORAssistant/pull/124,2,2
/The-OpenROAD-Project/ORAssistant/pulls,2,2
/The-OpenROAD-Project/ORAssistant/blob/master/backend/chatbot.py,2,1
