url_path,views_total,views_unique
/The-OpenROAD-Project/ORAssistant,120,54
/The-OpenROAD-Project/ORAssistant/security/dependabot,57,1
/The-OpenROAD-Project/ORAssistant/issues,38,13
/The-OpenROAD-Project/ORAssistant/security,35,1
/The-OpenROAD-Project/ORAssistant/pulls,20,7
/The-OpenROAD-Project/ORAssistant/issues/41,15,2
/The-OpenROAD-Project/ORAssistant/pull/250,9,2
/The-OpenROAD-Project/ORAssistant/issues/243,8,4
/The-OpenROAD-Project/ORAssistant/tree/master/backend,6,5
/The-OpenROAD-Project/ORAssistant/issues/248,5,2
