time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-12 00:00:00+00:00,8,8,38,4
2025-10-13 00:00:00+00:00,9,7,11,4
2025-10-14 00:00:00+00:00,32,9,68,5
2025-10-15 00:00:00+00:00,11,5,27,7
2025-10-16 00:00:00+00:00,8,3,13,5
2025-10-17 00:00:00+00:00,7,2,43,6
2025-10-18 00:00:00+00:00,16,13,34,4
2025-10-19 00:00:00+00:00,11,6,4,4
2025-10-20 00:00:00+00:00,30,18,4,4
2025-10-21 00:00:00+00:00,14,7,34,14
2025-10-22 00:00:00+00:00,18,11,24,8
2025-10-23 00:00:00+00:00,16,6,6,4
2025-10-24 00:00:00+00:00,14,8,3,3
2025-10-25 00:00:00+00:00,12,6,13,5
