time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,2,2,18,8
2025-01-07 00:00:00+00:00,3,2,30,14
2025-01-08 00:00:00+00:00,1,1,14,6
2025-01-09 00:00:00+00:00,2,2,8,4
2025-01-10 00:00:00+00:00,1,1,11,8
2025-01-11 00:00:00+00:00,1,1,2,2
2025-01-12 00:00:00+00:00,4,3,5,3
2025-01-13 00:00:00+00:00,5,4,9,7
2025-01-14 00:00:00+00:00,1,1,14,7
2025-01-15 00:00:00+00:00,1,1,82,10
2025-01-16 00:00:00+00:00,5,5,10,6
2025-01-17 00:00:00+00:00,3,3,10,4
2025-01-18 00:00:00+00:00,2,2,5,3
2025-01-19 00:00:00+00:00,2,2,12,5
