url_path,views_total,views_unique
/The-OpenROAD-Project/ORAssistant,76,45
/The-OpenROAD-Project/ORAssistant/pulls,15,2
/The-OpenROAD-Project/ORAssistant/security/dependabot,11,1
/The-OpenROAD-Project/ORAssistant/security,6,1
/The-OpenROAD-Project/ORAssistant/pull/316,5,1
/The-OpenROAD-Project/ORAssistant/blob/master/README.md,4,3
/The-OpenROAD-Project/ORAssistant/pull/317,4,1
/The-OpenROAD-Project/ORAssistant/actions,3,1
/The-OpenROAD-Project/ORAssistant/issues/75,2,2
/The-OpenROAD-Project/ORAssistant/tree/master/backend,2,2
