time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-23 00:00:00+00:00,11.0,5.0,11,7
2025-02-24 00:00:00+00:00,9.0,5.0,32,9
2025-02-25 00:00:00+00:00,6.0,3.0,22,8
2025-02-26 00:00:00+00:00,4.0,2.0,16,2
2025-02-27 00:00:00+00:00,5.0,2.0,7,4
2025-02-28 00:00:00+00:00,5.0,3.0,22,7
2025-03-01 00:00:00+00:00,2.0,2.0,45,9
2025-03-02 00:00:00+00:00,6.0,4.0,44,4
2025-03-03 00:00:00+00:00,6.0,3.0,18,5
2025-03-04 00:00:00+00:00,2.0,2.0,13,6
2025-03-05 00:00:00+00:00,2.0,2.0,39,8
2025-03-06 00:00:00+00:00,7.0,3.0,8,6
2025-03-07 00:00:00+00:00,6.0,4.0,7,6
2025-03-08 00:00:00+00:00,,,3,2
