time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-05 00:00:00+00:00,11,6,3,3
2025-11-06 00:00:00+00:00,16,12,15,10
2025-11-07 00:00:00+00:00,25,12,14,7
2025-11-08 00:00:00+00:00,7,4,4,4
2025-11-09 00:00:00+00:00,18,6,8,4
2025-11-10 00:00:00+00:00,10,7,41,13
2025-11-11 00:00:00+00:00,7,5,24,5
2025-11-12 00:00:00+00:00,19,7,17,10
2025-11-13 00:00:00+00:00,5,5,1,1
2025-11-14 00:00:00+00:00,5,4,4,3
2025-11-15 00:00:00+00:00,19,19,16,3
2025-11-16 00:00:00+00:00,19,17,19,5
2025-11-17 00:00:00+00:00,8,8,37,10
2025-11-18 00:00:00+00:00,8,6,1,1
