time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-18 00:00:00+00:00,16,13,34,4
2025-10-19 00:00:00+00:00,11,6,4,4
2025-10-20 00:00:00+00:00,30,18,4,4
2025-10-21 00:00:00+00:00,14,7,34,14
2025-10-22 00:00:00+00:00,18,11,24,8
2025-10-23 00:00:00+00:00,16,6,6,4
2025-10-24 00:00:00+00:00,14,8,3,3
2025-10-25 00:00:00+00:00,18,12,13,5
2025-10-26 00:00:00+00:00,10,9,10,9
2025-10-27 00:00:00+00:00,5,5,6,6
2025-10-28 00:00:00+00:00,7,5,9,7
2025-10-29 00:00:00+00:00,13,7,10,9
2025-10-30 00:00:00+00:00,11,10,7,6
2025-10-31 00:00:00+00:00,8,3,3,3
