time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-18 00:00:00+00:00,15,8,33,5
2026-01-19 00:00:00+00:00,22,6,6,6
2026-01-20 00:00:00+00:00,20,6,8,7
2026-01-21 00:00:00+00:00,21,7,15,10
2026-01-22 00:00:00+00:00,10,5,16,9
2026-01-23 00:00:00+00:00,7,7,42,5
2026-01-24 00:00:00+00:00,23,7,28,3
2026-01-25 00:00:00+00:00,16,6,3,3
2026-01-26 00:00:00+00:00,10,4,19,7
2026-01-27 00:00:00+00:00,71,32,85,10
2026-01-28 00:00:00+00:00,38,18,33,5
2026-01-29 00:00:00+00:00,29,11,7,7
2026-01-30 00:00:00+00:00,20,13,11,5
2026-01-31 00:00:00+00:00,17,7,7,7
