url_path,views_total,views_unique
/The-OpenROAD-Project/ORAssistant,54,45
/The-OpenROAD-Project/ORAssistant/tree/master/backend,8,6
/The-OpenROAD-Project/ORAssistant/blob/master/backend/build_docs.py,6,5
/The-OpenROAD-Project/ORAssistant/blob/master/backend/main.py,4,3
/The-OpenROAD-Project/ORAssistant/blob/master/frontend/README.md,3,3
/The-OpenROAD-Project/ORAssistant/tree/master,3,3
/The-OpenROAD-Project/ORAssistant/tree/master/frontend,3,3
/The-OpenROAD-Project/ORAssistant/blob/master/backend/chatbot.py,3,2
/The-OpenROAD-Project/ORAssistant/pull/123,3,1
/The-OpenROAD-Project/ORAssistant/blob/master/LICENSE,2,2
