time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,3,3,12,6
2025-06-26 00:00:00+00:00,5,5,19,6
2025-06-27 00:00:00+00:00,3,3,21,5
2025-06-28 00:00:00+00:00,9,9,4,3
2025-06-29 00:00:00+00:00,8,8,6,6
2025-06-30 00:00:00+00:00,6,6,7,5
2025-07-01 00:00:00+00:00,2,2,33,11
2025-07-02 00:00:00+00:00,4,4,29,5
2025-07-03 00:00:00+00:00,3,3,17,8
2025-07-04 00:00:00+00:00,7,7,5,4
2025-07-05 00:00:00+00:00,8,8,1,1
2025-07-06 00:00:00+00:00,19,16,1,1
2025-07-07 00:00:00+00:00,14,11,26,7
2025-07-08 00:00:00+00:00,3,3,10,7
