url_path,views_total,views_unique
/The-OpenROAD-Project/ORAssistant,66,47
/The-OpenROAD-Project/ORAssistant/tree/master/backend,23,8
/The-OpenROAD-Project/ORAssistant/tree/master,16,2
/The-OpenROAD-Project/ORAssistant/blob/master/backend/build_docs.py,7,6
/The-OpenROAD-Project/ORAssistant/tree/master/common,6,3
/The-OpenROAD-Project/ORAssistant/blob/1441a9f81370c3db6f5fb9b36cf86583896c9751/common/mongoClient.py,5,1
/The-OpenROAD-Project/ORAssistant/tree/master/frontend,4,2
/The-OpenROAD-Project/ORAssistant/blob/master/backend/chatbot.py,3,2
/The-OpenROAD-Project/ORAssistant/tree/master/backend/src,3,2
/The-OpenROAD-Project/ORAssistant/tree/master/evaluation,3,2
